presz,postsz,inc,year,lf
113.6,127.7,14.1,NA,0
118.1,133.2,15.1,NA,0
119.9,135.3,15.4,NA,0
126.2,143.3,17.1,NA,0
126.7,139.3,12.6,NA,0
127.3,140.2,12.9,NA,0
128.2,143.8,15.6,NA,0
129.5,144.6,15.1,NA,0
130.5,147.6,17.1,NA,0
131.6,144.8,13.2,NA,0
131.7,146.8,15.1,NA,0
132.2,145.9,13.7,NA,0
132.4,151,18.6,NA,0
132.8,148.7,15.9,NA,0
132.8,147.8,15,NA,0
133.6,148.3,14.7,NA,0
133.8,149.2,15.4,NA,0
134.1,149,14.9,NA,0
134.3,149.2,14.9,NA,0
134.6,148.7,14.1,NA,0
135.2,149,13.8,NA,0
135.2,151.1,15.9,NA,0
135.5,150.4,14.9,NA,0
135.6,149.4,13.8,NA,0
136.1,150,13.9,NA,0
136.2,151,14.8,NA,0
136.3,150,13.7,NA,0
136.4,150.7,14.3,NA,0
136.7,147.6,10.9,NA,0
136.8,151.9,15.1,NA,0
136.9,151.5,14.6,NA,0
137.3,151.1,13.8,NA,0
137.4,151,13.6,NA,0
137.6,151.8,14.2,NA,0
137.6,150.9,13.3,NA,0
137.6,150,12.4,NA,0
138,154,16,NA,0
138.2,152.6,14.4,NA,0
138.3,152.6,14.3,NA,0
138.3,152.6,14.3,NA,0
138.3,151.1,12.8,NA,0
138.5,151.4,12.9,NA,0
138.9,155,16.1,NA,0
139.2,151.8,12.6,NA,0
139.5,154.2,14.7,NA,0
139.5,154,14.5,NA,0
140,151.9,11.9,NA,0
140.1,155.5,15.4,NA,0
140.2,155.9,15.7,NA,0
140.3,153.1,12.8,NA,0
140.3,155.4,15.1,NA,0
140.6,154.2,13.6,NA,0
140.7,153,12.3,NA,0
141,151.7,10.7,NA,0
141.3,153.4,12.1,NA,0
141.3,154,12.7,NA,0
141.3,155.6,14.3,NA,0
141.3,156.2,14.9,NA,0
141.5,155.6,14.1,NA,0
142,154.3,12.3,NA,0
142,158.2,16.2,NA,0
142.3,155.6,13.3,NA,0
142.3,156.5,14.2,NA,0
142.4,157.3,14.9,NA,0
142.7,155.8,13.1,NA,0
142.9,156.6,13.7,NA,0
143,155.9,12.9,NA,0
143.1,156.6,13.5,NA,0
143.5,155,11.5,NA,0
143.6,158.2,14.6,NA,0
143.7,158.7,15,NA,0
143.7,155.9,12.2,NA,0
143.7,159.1,15.4,NA,0
143.9,155.6,11.7,NA,0
144,158.6,14.6,NA,0
144.5,154.3,9.8,NA,0
144.6,161.6,17,NA,0
144.6,157,12.4,NA,0
144.7,154.6,9.9,NA,0
145,157.9,12.9,NA,0
145.2,160,14.8,NA,0
145.4,159.9,14.5,NA,0
145.4,157.1,11.7,NA,0
145.7,159.9,14.2,NA,0
145.7,157,11.3,NA,0
145.7,159.6,13.9,NA,0
145.9,160.6,14.7,NA,0
146,155.6,9.6,NA,0
147.2,159.6,12.4,NA,0
147.4,162.7,15.3,NA,0
147.6,158.3,10.7,NA,0
148,160.1,12.1,NA,0
148.1,163.7,15.6,NA,0
148.1,163.2,15.1,NA,0
151,164.7,13.7,NA,0
151.2,163.5,12.3,NA,0
153.9,166.5,12.6,NA,0
115.6,130.8,15.2,NA,0
123,141.6,18.6,NA,0
124.4,142.5,18.1,NA,0
136.1,147.5,11.4,NA,0
136.9,151.4,14.5,NA,0
138.6,154.2,15.6,NA,0
139.7,152.3,12.6,NA,0
139.8,159.5,19.7,NA,0
141.3,156.6,15.3,NA,0
143.7,154.6,10.9,NA,0
144.2,157.8,13.6,NA,0
146.4,161.7,15.3,NA,0
147.8,160.6,12.8,NA,0
147.9,156,8.1,NA,0
142.3,154.8,12.5,81,1
125.1,142.5,17.4,81,1
140.8,154.9,14.1,81,1
122.4,136.5,14.1,81,1
133.2,146.6,13.4,81,1
138.9,151.5,12.6,81,1
143.1,154.4,11.3,81,1
139.7,152.2,12.5,81,1
140.4,155.3,14.9,81,1
116.6,133.3,16.7,81,1
137.4,149.7,12.3,81,1
143,157.5,14.5,81,1
143.2,155.3,12.1,81,1
140.8,152.9,12.1,81,1
140.7,154.3,13.6,81,1
130.8,143.1,12.3,81,1
131.8,145.2,13.4,81,1
120.6,135.4,14.8,81,1
140.1,153.5,13.4,81,1
133,148.9,15.9,81,1
122.9,139.1,16.2,81,1
143,155.4,12.4,81,1
139.5,154.7,15.2,81,1
137.5,149.5,12,81,1
136.7,151.5,14.8,81,1
145.9,160.1,14.2,81,1
143.1,153.2,10.1,81,1
128.5,142,13.5,81,1
141.1,153.8,12.7,81,1
150.9,164.9,14,81,1
144.6,155.7,11.1,81,1
143.3,155.8,12.5,81,1
146.5,158.9,12.4,81,1
143.5,155.2,11.7,81,1
150.2,164.1,13.9,81,1
148.3,161.3,13,81,1
143.1,156.7,13.6,81,1
135.7,148.2,12.5,81,1
143.4,156.5,13.1,81,1
133,147.8,14.8,81,1
143.2,157.7,14.5,81,1
137,149.1,12.1,81,1
140.8,151.5,10.7,81,1
132.8,146.7,13.9,81,1
134.7,148.5,13.8,81,1
142.4,156.6,14.2,81,1
141.2,155,13.8,81,1
111.9,129.5,17.6,81,1
84.3,101.4,17.1,81,1
109.8,128.9,19.1,81,1
83.8,101.9,18.1,81,1
86.1,105.1,19,81,1
92,114.8,22.8,81,1
71.4,91.5,20.1,81,1
77.9,96.4,18.5,81,1
75.2,94.5,19.3,81,1
113.1,131.1,18,81,1
71.4,93.8,22.4,81,1
81.4,101.3,19.9,81,1
74.8,95.5,20.7,81,1
62.7,82.3,19.6,81,1
75.8,97.2,21.4,81,1
74.2,92.1,17.9,81,1
72.4,96.3,23.9,81,1
83.6,104.6,21,81,1
31.1,38.8,7.7,81,1
40.5,51.8,11.3,81,1
88.3,110.2,21.9,81,1
98.2,120,21.8,82,1
102.1,121.9,19.8,82,1
116.1,134.8,18.7,82,1
135.6,148,12.4,82,1
143.2,158.2,15,82,1
142.9,154.8,11.9,82,1
123.4,141.8,18.4,82,1
125.5,141.6,16.1,82,1
129.5,146.6,17.1,82,1
120.1,133.8,13.7,82,1
122.5,136.5,14,82,1
123.3,140.9,17.6,82,1
127.8,140.4,12.6,82,1
134.7,148.5,13.8,82,1
128.6,145.8,17.2,82,1
124.2,142.8,18.6,82,1
125.5,142.4,16.9,82,1
131.4,149.1,17.7,82,1
136.1,149.5,13.4,82,1
110.6,127.6,17,82,1
122.3,136.2,13.9,82,1
134.1,145.8,11.7,82,1
138.3,154.2,15.9,82,1
133.3,147.1,13.8,82,1
149.8,159.4,9.6,82,1
149.2,162.6,13.4,82,1
142.5,151.5,9,82,1
104.6,118,13.4,82,1
127.1,145.5,18.4,82,1
129.8,148.2,18.4,82,1
121.1,135.9,14.8,82,1
119.2,136.1,16.9,82,1
110.9,128.6,17.7,82,1
122.5,139.8,17.3,82,1
119.3,136.7,17.4,82,1
118.2,135.1,16.9,82,1
137.5,149,11.5,82,1
148.9,163.7,14.8,82,1
131.3,149.8,18.5,82,1
126.9,143.2,16.3,82,1
129.3,143.2,13.9,82,1
144.3,157,12.7,82,1
137.2,152.7,15.5,82,1
139,153.6,14.6,82,1
123.3,140.6,17.3,82,1
138.4,151.7,13.3,82,1
111.7,132,20.3,82,1
117.2,132.5,15.3,82,1
142,154.5,12.5,82,1
130,143.3,13.3,82,1
122.3,138.1,15.8,82,1
114.7,126.7,12,82,1
119.3,132.4,13.1,82,1
131.7,149.3,17.6,82,1
120.3,139.3,19,82,1
136.2,151.5,15.3,82,1
154.5,166.8,12.3,82,1
109.5,126.8,17.3,82,1
139.2,152.1,12.9,82,1
108.3,126.9,18.6,82,1
128.5,145.4,16.9,82,1
144.5,156.3,11.8,82,1
123.3,142.7,19.4,82,1
117.7,132.9,15.2,82,1
119.7,137.9,18.2,82,1
113.6,126.1,12.5,82,1
148.2,160.4,12.2,82,1
155.1,166.2,11.1,82,1
131,145.4,14.4,82,1
132.2,144.3,12.1,82,1
144.9,156.8,11.9,82,1
112.5,131.2,18.7,82,1
124.1,140.8,16.7,82,1
113.9,130.8,16.9,82,1
135.5,149.7,14.2,82,1
142.4,156.7,14.3,82,1
121.3,136.1,14.8,82,1
136.7,150.1,13.4,82,1
122,140.7,18.7,82,1
125.6,139.4,13.8,82,1
149.9,160.1,10.2,82,1
123.3,138.2,14.9,82,1
133.6,148.6,15,82,1
138.8,152,13.2,82,1
110.7,128.2,17.5,82,1
111.5,126.7,15.2,82,1
124.8,142.5,17.7,82,1
126.2,139.7,13.5,82,1
138.6,151.8,13.2,82,1
125.2,141.1,15.9,82,1
126.2,140.7,14.5,82,1
145.1,157.5,12.4,82,1
126,143.8,17.8,82,1
110.5,127.7,17.2,82,1
140.5,155.2,14.7,82,1
128.6,146.9,18.3,82,1
103.9,125,21.1,82,1
118.9,133.5,14.6,82,1
131,144.4,13.4,82,1
141.4,154.6,13.2,82,1
139.2,154.4,15.2,82,1
119.8,138.6,18.8,82,1
115,133.7,18.7,82,1
139.8,153.2,13.4,82,1
144.5,159.1,14.6,82,1
134.7,149.5,14.8,82,1
126.1,144.7,18.6,82,1
130.4,147.3,16.9,82,1
120.8,138.4,17.6,82,1
119.2,136.9,17.7,82,1
132.3,146.6,14.3,82,1
106.3,124.5,18.2,82,1
125.7,144.1,18.4,82,1
107.6,124.4,16.8,82,1
128.5,142.2,13.7,82,1
119.5,134.1,14.6,92,1
116.2,133.8,17.6,92,1
112.3,127.8,15.5,92,1
115.6,132.3,16.7,92,1
119,135.6,16.6,92,1
113.6,130.3,16.7,92,1
111.6,128.7,17.1,92,1
112.7,118.8,6.1,92,1
117.5,133.4,15.9,92,1
136.3,151.6,15.3,92,1
125.2,140.6,15.4,92,1
128.9,144.6,15.7,92,1
132,147.7,15.7,92,1
140.4,154.8,14.4,92,1
121.6,139.1,17.5,92,1
108.6,124.2,15.6,92,1
111.8,129.5,17.7,92,1
107.2,123.7,16.5,92,1
115.9,130.6,14.7,92,1
121.4,134.7,13.3,92,1
137.4,153.9,16.5,92,1
133.7,148.4,14.7,92,1
115.7,130.1,14.4,92,1
122.2,135.8,13.6,92,1
126.2,140.3,14.1,92,1
125.5,138.7,13.2,92,1
128.3,140.6,12.3,92,1
112.9,127.6,14.8,92,1
110.8,127.7,16.8,92,1
111,127.5,16.5,92,1
125.3,138.3,13,92,1
110.9,127.3,16.4,92,1
137.7,151.5,13.9,92,1
126.6,140.5,13.9,92,1
112,128.5,16.5,92,1
130.5,145.9,15.4,92,1
119.6,135.5,15.9,92,1
108.8,125.4,16.6,92,1
132.9,146.3,13.4,92,1
126,144.5,18.5,92,1
130.8,148.8,18,92,1
111.9,127.8,15.9,92,1
120.7,137.7,17,92,1
135.7,149.6,14,92,1
112.6,128,15.4,92,1
123.1,141.8,18.7,92,1
121,138.5,17.5,92,1
119.9,136.1,16.2,92,1
113.6,130.1,16.5,92,1
122.7,139.2,16.5,92,1
140,153.4,13.4,92,1
125.5,141.6,16.1,92,1
122.1,138.6,16.4,92,1
140.7,153,12.3,92,1
127,139.8,12.8,92,1
127.6,140.8,13.2,92,1
122.6,138,15.4,92,1
135,146.7,11.7,92,1
119.4,135.9,16.5,92,1
130.4,144.4,14,92,1
125,138.5,13.5,92,1
108.9,125.3,16.4,92,1
114.8,131.9,17.1,92,1
121.6,134.3,12.6,92,1
134.8,147.8,13,92,1
133.9,147.7,13.7,92,1
128.1,144.2,16.1,92,1
115.3,132,16.7,92,1
120.9,136.1,15.2,92,1
130.2,148.1,18,92,1
132.7,147.5,14.9,92,1
108,122.4,14.4,92,1
133.9,147.7,13.7,92,1
128.1,144.2,16.1,92,1
115.3,132,16.7,92,1
120.9,136.1,15.2,92,1
130.2,148.1,18,92,1
132.7,147.5,14.9,92,1
108,122.4,14.4,92,1
118.7,135.8,17.1,92,1
120,135.2,15.2,92,1
109.1,126.5,17.4,92,1
124.1,140.3,16.2,92,1
133.2,145.8,12.6,92,1
139.6,152.1,12.5,92,1
133.9,147,13.1,92,1
137.2,150.4,13.3,92,1
143.1,155.7,12.6,92,1
128.8,140.5,11.6,92,1
121.7,139.3,17.6,92,1
116.3,131.5,15.1,92,1
130.1,142.7,12.6,92,1
146.4,158.2,11.9,92,1
118.9,135.8,16.8,92,1
132.9,147.2,14.3,92,1
135.2,150,14.8,92,1
135,148.2,13.2,92,1
125.4,139.8,14.4,92,1
126.7,143.7,17,92,1
125,141.3,16.4,92,1
133.2,147.2,14,92,1
124.3,139.7,15.5,92,1
115.3,130.3,15,92,1
136.8,149.3,12.5,92,1
137.6,150.4,12.7,92,1
147.5,160,12.5,92,1
147.5,161.6,14.1,92,1
136,149.3,13.3,92,1
113.3,129.2,16,92,1
126.3,142.7,16.4,92,1
129.6,143.6,14,92,1
116.3,132,15.7,92,1
116.6,133.2,16.6,92,1
120.9,137.8,16.9,92,1
131,145.4,14.4,92,1
136.5,150.8,14.2,92,1
133.3,147.2,13.9,92,1
132,143.7,11.8,92,1
131.4,144.7,13.2,92,1
135.8,148.1,12.3,92,1
118.6,135.4,16.8,92,1
129.8,145.8,16,92,1
141.2,154.2,13,92,1
132,144.3,12.3,92,1
118.7,133.7,15,92,1
141.5,155.4,13.9,92,1
130.7,142.4,11.8,92,1
137.7,149.5,11.8,92,1
143,157.1,14.1,92,1
134.7,147.6,12.9,92,1
131.2,143.5,12.3,92,1
125.9,138.9,13,92,1
144.8,157,12.2,92,1
128.5,140.8,12.3,92,1
143.4,156.4,13,92,1
141.7,153.1,11.4,92,1
139.2,152.3,13,92,1
115.8,130.5,14.7,92,1
137.2,149.8,12.6,92,1
131,142.3,11.3,92,1
141.9,153.4,11.5,92,1
133.4,147.9,14.4,92,1
134.3,149.9,15.6,92,1
137.9,152.2,14.3,92,1
138.6,150.4,11.8,92,1
130.8,141.8,11,92,1
138.1,152.4,14.4,92,1
121.9,133.7,11.8,92,1
136.9,147.1,10.2,92,1
138.6,151.7,13.2,92,1
141.4,153.6,12.2,92,1
132.2,145.2,13,92,1
124.5,141.6,17.1,92,1
125.7,138.3,12.6,92,1
119.3,135.2,15.9,92,1
140.7,153.5,12.8,92,1
139.6,153.3,13.7,92,1
139.6,151.6,12,92,1
138,152.9,14.9,92,1
134.8,147.5,12.7,92,1
124.4,141.9,17.6,92,1
132.6,145.9,13.3,92,1
125.1,140.3,15.2,92,1
135.3,148.5,13.2,92,1
139.1,151.4,12.2,92,1
129.7,138.6,8.8,92,1
134.9,146.4,11.6,92,1
118.7,134.3,15.6,92,1
138.3,154.1,15.8,92,1
131.2,146.4,15.2,92,1
135.2,149.4,14.2,92,1
119.4,134.7,15.3,92,1
148.1,161.7,13.6,92,1
135.9,150.3,14.4,92,1
135.6,151.2,15.6,92,1
129.6,143.5,13.9,92,1
134.1,148.3,14.2,92,1
114.4,129.2,14.8,92,1
