size,shell
116.8,1
117.1,1
118.4,1
119.6,1
120.1,1
120.4,1
120.6,1
122.6,1
123.5,1
123.9,1
124.6,1
125.3,1
125.8,1
125.8,1
126,1
126.5,1
126.5,1
127,1
127.1,1
127.6,1
127.9,1
128,1
128.3,1
128.3,1
128.5,1
128.8,1
129.1,1
129.3,1
129.3,1
129.4,1
130,1
130,1
130,1
131.1,1
131.2,1
131.3,1
131.3,1
131.7,1
131.8,1
132,1
132.1,1
132.2,1
132.2,1
132.2,1
132.3,1
132.8,1
132.8,1
133.3,1
133.5,1
133.6,1
133.9,1
133.9,1
133.9,1
134,1
134,1
134.9,1
135.1,1
135.1,1
135.2,1
135.4,1
135.5,1
135.6,1
135.8,1
136,1
136.1,1
136.2,1
136.4,1
136.7,1
137,1
137,1
137.2,1
137.7,1
138,1
138.4,1
138.6,1
138.6,1
138.7,1
138.7,1
138.7,1
138.9,1
138.9,1
138.9,1
139,1
139,1
139.1,1
139.2,1
139.3,1
139.3,1
139.3,1
139.4,1
139.4,1
139.4,1
139.5,1
139.5,1
139.8,1
140,1
140.2,1
140.3,1
140.5,1
140.6,1
140.6,1
141,1
141,1
141.3,1
141.4,1
141.4,1
141.4,1
141.4,1
141.4,1
141.6,1
141.6,1
141.7,1
142.2,1
142.4,1
142.5,1
142.9,1
143,1
143.1,1
143.2,1
143.5,1
143.6,1
143.8,1
144,1
144,1
144.8,1
145.2,1
145.3,1
145.3,1
145.4,1
145.6,1
146.1,1
146.3,1
146.8,1
147.4,1
147.6,1
147.8,1
148.3,1
148.6,1
148.9,1
149.4,1
149.5,1
149.8,1
149.8,1
149.9,1
150.3,1
150.6,1
151.3,1
151.5,1
151.7,1
152,1
152.2,1
152.7,1
153.2,1
153.4,1
153.4,1
153.5,1
153.7,1
153.7,1
154.1,1
154.1,1
154.1,1
154.3,1
154.9,1
155.2,1
155.3,1
155.6,1
155.6,1
155.7,1
155.8,1
155.8,1
156,1
156.2,1
156.5,1
156.6,1
156.7,1
156.8,1
156.8,1
157,1
157.2,1
157.3,1
157.5,1
157.7,1
157.8,1
157.8,1
157.8,1
158.6,1
158.6,1
159.8,1
160,1
160.4,1
160.4,1
160.5,1
161.1,1
161.3,1
161.6,1
161.6,1
162.1,1
162.5,1
164.1,1
164.6,1
165.1,1
95.4,0
100.4,0
109.3,0
114.6,0
115.2,0
115.5,0
119.5,0
122,0
126.7,0
128.7,0
134.3,0
137.1,0
137.5,0
137.7,0
139.3,0
139.5,0
139.7,0
140.1,0
140.8,0
141,0
141.5,0
142.1,0
142.3,0
142.4,0
142.7,0
143.1,0
143.5,0
143.5,0
143.9,0
143.9,0
144.2,0
144.3,0
144.3,0
144.5,0
144.9,0
145,0
145.1,0
145.3,0
145.7,0
145.7,0
146.1,0
146.1,0
146.4,0
146.6,0
146.7,0
146.8,0
146.9,0
147,0
147.1,0
147.3,0
147.6,0
147.7,0
147.7,0
147.8,0
147.9,0
148,0
148,0
148.1,0
148.2,0
148.2,0
148.4,0
148.4,0
148.4,0
148.5,0
148.5,0
148.6,0
148.7,0
148.8,0
148.8,0
148.9,0
149,0
149.3,0
149.4,0
149.6,0
149.6,0
149.8,0
150,0
150,0
150.2,0
150.4,0
150.6,0
150.6,0
150.6,0
150.6,0
150.7,0
150.8,0
150.9,0
151.2,0
151.4,0
151.5,0
151.6,0
151.7,0
151.8,0
151.8,0
152,0
152.2,0
152.3,0
152.5,0
152.5,0
152.6,0
152.7,0
152.7,0
152.9,0
153,0
153.1,0
153.3,0
153.4,0
153.8,0
154.1,0
154.2,0
154.2,0
154.3,0
154.7,0
154.9,0
155,0
155.4,0
155.8,0
155.8,0
155.9,0
156,0
156.1,0
156.3,0
156.3,0
156.6,0
156.7,0
156.8,0
156.8,0
156.9,0
156.9,0
157,0
157.1,0
157.3,0
157.7,0
157.8,0
157.9,0
158.1,0
158.3,0
158.3,0
158.5,0
158.6,0
158.6,0
159,0
159.2,0
159.3,0
160.2,0
160.4,0
160.6,0
160.6,0
160.7,0
161.1,0
161.4,0
162.5,0
163,0
163.2,0
163.2,0
163.2,0
163.5,0
163.5,0
166.1,0
166.6,0
168,0
